Price,Close,High,Low,Open,Volume,Close_100
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-12-30,424.8299865722656,427.54998779296875,421.8999938964844,426.05999755859375,13158700,115.40616155933621
2024-12-31,421.5,426.7300109863281,420.6600036621094,426.1000061035156,13246500,114.50156211839271
2025-01-02,418.5799865722656,426.07000732421875,414.8500061035156,425.5299987792969,16896500,113.70833293954985
2025-01-03,423.3500061035156,424.0299987792969,419.5400085449219,421.0799865722656,16662900,115.00412104788525
2025-01-06,427.8500061035156,434.32000732421875,425.4800109863281,428.0,20573600,116.22655765413141
2025-01-07,422.3699951171875,430.6499938964844,420.79998779296875,429.0,18139100,114.73789853583835
2025-01-08,424.55999755859375,426.9700012207031,421.5400085449219,423.4599914550781,15054600,115.33281834742581
2025-01-10,418.95001220703125,424.7099914550781,415.0199890136719,424.6300048828125,20201100,113.80885135759141
2025-01-13,417.19000244140625,418.5,412.2900085449219,415.239990234375,17604800,113.33074016540232
2025-01-14,415.6700134277344,419.739990234375,410.7200012207031,417.80999755859375,16935900,112.91783122953464
2025-01-15,426.30999755859375,428.1499938964844,418.2699890136719,419.1300048828125,19637800,115.808210360966
2025-01-16,424.5799865722656,429.489990234375,424.3900146484375,428.70001220703125,15300000,115.33824841454476
2025-01-17,429.0299987792969,434.4800109863281,428.1700134277344,434.0899963378906,26197500,116.54710570790417
2025-01-21,428.5,430.8999938964844,425.6000061035156,430.20001220703125,26085700,116.40313017255343
2025-01-22,446.20001220703125,447.2699890136719,436.0,437.55999755859375,27803800,121.21138413985997
2025-01-23,446.7099914550781,446.75,441.5,442.0,18389300,121.34992131791293
2025-01-24,444.05999755859375,446.6499938964844,441.3999938964844,445.1600036621094,15549500,120.63004364115928
2025-01-27,434.55999755859375,435.20001220703125,423.5,424.010009765625,35647800,118.04934413908398
2025-01-28,447.20001220703125,448.3800048828125,431.3800048828125,434.6000061035156,23491700,121.48303671902579
2025-01-29,442.3299865722656,446.8800048828125,440.3999938964844,446.69000244140625,23581400,120.16008169473804
2025-01-30,414.989990234375,422.8599853515625,413.1600036621094,418.7699890136719,54586300,112.73310117516601
2025-01-31,415.05999755859375,420.69000244140625,414.9100036621094,418.9800109863281,34223400,112.75211884535052
